,Year,Destination country,Source country,EUR,USD
0,1999,,ES,141384,165649
1,1999,,FI,40155692,47047452
2,1999,,GB,1519806000,1780644224
3,1999,,SE,413267400,484194830
4,2000,,BE,192812922,194140631
5,2000,,DE,680000000,684682480
6,2000,,DK,30781000,30992957
7,2000,,ES,138278830,139231018
8,2000,,FI,23485224,23646943
9,2000,,FR,2739100000,2757961442
10,2000,,GB,2823664815,2843108570
11,2000,,IT,603800316,607958084
12,2000,,LU,92747,93385
13,2000,,PT,12726720,12814356
14,2000,,SE,517873930,521440009
15,2001,,DE,210141,197102
16,2001,AD,ES,7200,6753
17,2001,AE,BE,6228000,5841571
18,2001,AE,ES,52700,49430
19,2001,AE,FI,182700,171364
20,2001,AE,FR,641954146,602122817
21,2001,AE,GB,96935441,90920887
22,2001,AE,IT,32666769,30639893
23,2001,AE,SE,97345,91305
24,2001,AO,ES,30000,28138
25,2001,AO,GB,48259,45264
26,2001,AO,PT,2757,2585
27,2001,AR,BE,371000,347980
28,2001,AR,DE,55731,52273
29,2001,AR,ES,775310,727204
30,2001,AR,FI,8400,7878
31,2001,AR,FR,2912067,2731381
32,2001,AR,IT,152471,143010
33,2001,AR,PT,81537,76477
34,2001,AR,SE,10816,10144
35,2001,AT,BE,336000,315152
36,2001,AT,DE,2864257,2686538
37,2001,AT,FI,265600,249120
38,2001,AT,FR,11357825,10653106
39,2001,AT,GB,836482,784580
40,2001,AT,IT,643847,603898
41,2001,AT,PT,11490,10777
42,2001,AT,SE,12373629,11605882
43,2001,AU,BE,6499000,6095756
44,2001,AU,DE,87431,82006
45,2001,AU,ES,1680,1575
46,2001,AU,FI,48200,45209
47,2001,AU,FR,8734512,8192561
48,2001,AU,GB,192712676,180755432
49,2001,AU,IT,2464353,2311447
50,2001,AU,SE,7592909,7121791
51,2001,BB,GB,1479930,1388104
52,2001,BD,GB,1142120,1071254
53,2001,BD,IT,155779,146113
54,2001,BE,DE,10047908,9424465
55,2001,BE,ES,1042200,977534
56,2001,BE,FI,34600,32453
57,2001,BE,FR,34923587,32756683
58,2001,BE,GB,17357010,16280059
59,2001,BE,IT,6105367,5726547
60,2001,BE,PT,2871464,2693298
61,2001,BE,SE,1103243,1034790
62,2001,BF,FR,87555,82122
63,2001,BG,BE,5000,4689
64,2001,BG,FI,2300,2157
65,2001,BG,FR,146261,137185
66,2001,BG,SE,4326,4057
67,2001,BH,ES,758720,711643
68,2001,BH,FR,2135984,2003452
69,2001,BH,GB,884741,829845
70,2001,BH,IT,882934,828150
71,2001,BH,SE,2660763,2495670
72,2001,BJ,FR,57627,54051
73,2001,BN,BE,22000,20634
74,2001,BN,FR,39330573,36890228
75,2001,BN,GB,1978603,1855836
76,2001,BO,LU,10906,10229
77,2001,BR,BE,4189000,3929085
78,2001,BR,DE,138049,129483
79,2001,BR,ES,420650,394549
80,2001,BR,FR,23798391,22321772
81,2001,BR,GB,26896125,25227301
82,2001,BR,IT,10619813,9960885
83,2001,BR,PT,351649,329830
84,2001,BR,SE,23892786,22410310
85,2001,BW,BE,17000,15945
86,2001,BW,FR,30745390,28837730
87,2001,BW,GB,2107292,1976540
88,2001,CA,BE,29441000,27614274
89,2001,CA,DE,7494005,7029024
90,2001,CA,ES,46850,43943
91,2001,CA,FI,19800,18571
92,2001,CA,FR,14714015,13801054
93,2001,CA,GB,194675192,182596180
94,2001,CA,IT,1187231,1113566
95,2001,CA,SE,9453280,8866732
96,2001,CH,BE,1731000,1623596
97,2001,CH,DE,20798842,19508336
98,2001,CH,ES,1904570,1786397
99,2001,CH,FI,1640800,1538993
100,2001,CH,FR,186815894,175224528
101,2001,CH,GB,80350569,75365057
102,2001,CH,IT,10234302,9599294
103,2001,CH,SE,6943942,6513091
104,2001,CI,FR,26292,24660
105,2001,CL,BE,56000,52525
106,2001,CL,DE,49595,46517
107,2001,CL,ES,377900,354452
108,2001,CL,FI,19600,18383
109,2001,CL,FR,12865973,12067677
110,2001,CL,GB,48259,45264
111,2001,CL,IT,3396979,3186206
112,2001,CL,PT,48480,45471
113,2001,CL,SE,454277,426090
114,2001,CM,FR,2450827,2298760
115,2001,CN,FR,8113408,7609995
116,2001,CN,IT,8147454,7641928
117,2001,CO,ES,98400,92294
118,2001,CO,FR,2002251,1878017
119,2001,CO,GB,1222551,1146695
120,2001,CO,PT,55125,51704
121,2001,CR,ES,27810,26084
122,2001,CU,ES,3490,3273
123,2001,CY,BE,63000,59091
124,2001,CY,FR,32927078,30884051
125,2001,CY,IT,5611,5262
126,2001,CY,PT,83890,78684
127,2001,CZ,BE,11000,10317
128,2001,CZ,DE,540947,507382
129,2001,CZ,ES,84410,79172
130,2001,CZ,FI,845900,793414
131,2001,CZ,FR,14025615,13155367
132,2001,CZ,GB,3056378,2866738
133,2001,CZ,IT,10060696,9436459
134,2001,CZ,PT,22980,21554
135,2001,CZ,SE,173058,162320
136,2001,DE,BE,4497000,4217974
137,2001,DE,ES,24063990,22570891
138,2001,DE,FI,1836600,1722644
139,2001,DE,FR,45395434,42578783
140,2001,DE,GB,226670644,212606410
141,2001,DE,IT,31743578,29773984
142,2001,DE,LU,3714,3483
143,2001,DE,PT,370714,347712
144,2001,DE,SE,25493570,23911770
145,2001,DK,BE,336000,315152
146,2001,DK,DE,4746323,4451827
147,2001,DK,ES,121780,114223
148,2001,DK,FI,1300,1219
149,2001,DK,FR,12639309,11855077
150,2001,DK,GB,32880193,30840075
151,2001,DK,IT,5049893,4736562
152,2001,DK,SE,36212335,33965468
153,2001,DM,GB,16086,15087
154,2001,DO,BE,552000,517750
155,2001,DO,ES,431860,405064
156,2001,DZ,FR,7742390,7261997
157,2001,DZ,GB,48259,45264
158,2001,DZ,IT,1369248,1284290
159,2001,DZ,PT,26157,24534
160,2001,EC,BE,377000,353608
161,2001,EC,DE,223435,209571
162,2001,EC,ES,4470,4192
163,2001,EC,FR,3136415,2941809
164,2001,EC,GB,434327,407378
165,2001,EC,IT,655225,614570
166,2001,EE,DE,49084,46038
167,2001,EE,ES,29500,27669
168,2001,EE,FI,1200,1125
169,2001,EE,SE,475909,446380
170,2001,EG,BE,103000,96609
171,2001,EG,ES,1327370,1245010
172,2001,EG,FI,2502400,2347133
173,2001,EG,FR,35650106,33438123
174,2001,EG,GB,9667806,9067947
175,2001,EG,IT,1309772,1228504
176,2001,ER,GB,209121,196145
177,2001,ES,BE,672000,630304
178,2001,ES,DE,21320871,19997974
179,2001,ES,FI,8700,8160
180,2001,ES,FR,105393617,98854259
181,2001,ES,GB,14976252,14047020
182,2001,ES,IT,45840189,42995942
183,2001,ES,PT,216519,203084
184,2001,ES,SE,5948860,5579751
185,2001,FI,BE,71000,66594
186,2001,FI,DE,12271,11509
187,2001,FI,ES,5120,4802
188,2001,FI,FR,2222407,2084513
189,2001,FI,GB,17566130,16476204
190,2001,FI,SE,6002941,5630476
191,2001,FR,BE,7474000,7010260
192,2001,FR,DE,14645956,13737218
193,2001,FR,ES,12447570,11675235
194,2001,FR,FI,82200,77099
195,2001,FR,GB,86801135,81415384
196,2001,FR,IT,33238547,31176194
197,2001,FR,PT,161611,151583
198,2001,FR,SE,9410015,8826151
199,2001,GA,FR,1413975,1326242
200,2001,GA,GB,1431672,1342841
201,2001,GB,BE,5046000,4732910
202,2001,GB,DE,58151782,54543638
203,2001,GB,ES,46701260,43803586
204,2001,GB,FI,1126000,1056135
205,2001,GB,FR,139225067,130586569
206,2001,GB,IT,89364917,83820091
207,2001,GB,PT,17500,16414
208,2001,GB,SE,10697132,10033407
209,2001,GH,FR,6000,5627
210,2001,GH,GB,546931,512995
211,2001,GH,IT,106169,99581
212,2001,GN,FR,940214,881876
213,2001,GR,BE,200000,187590
214,2001,GR,DE,38217534,35846250
215,2001,GR,ES,233430,218946
216,2001,GR,FI,637700,598132
217,2001,GR,FR,95544813,89616543
218,2001,GR,GB,1737310,1629515
219,2001,GR,IT,10307769,9668202
220,2001,GR,PT,603933,566460
221,2001,GR,SE,13238918,12417482
222,2001,HK,GB,997344,935461
223,2001,HN,IT,6617067,6206497
224,2001,HR,SE,584070,547830
225,2001,HU,DE,10737,10070
226,2001,HU,FR,792711,743525
227,2001,HU,SE,75713,71015
228,2001,ID,ES,42840,40181
229,2001,ID,FR,19687450,18465902
230,2001,ID,GB,7399652,6940525
231,2001,ID,IT,55827,52363
232,2001,ID,SE,248771,233335
233,2001,IE,BE,704000,660318
234,2001,IE,DE,16873,15826
235,2001,IE,ES,31200,29264
236,2001,IE,FI,39300,36861
237,2001,IE,FR,16164251,15161307
238,2001,IE,GB,10858185,10184467
239,2001,IE,IT,548019,514016
240,2001,IE,SE,1892819,1775375
241,2001,IL,BE,118000,110678
242,2001,IL,DE,14254818,13370349
243,2001,IL,ES,487980,457702
244,2001,IL,FR,12556996,11777872
245,2001,IL,GB,2429016,2278302
246,2001,IL,IT,229782,215524
247,2001,IN,BE,4064000,3811840
248,2001,IN,ES,1143880,1072905
249,2001,IN,FR,85753487,80432740
250,2001,IN,GB,39668569,37207253
251,2001,IN,IT,52500047,49242576
252,2001,IN,SE,13639114,12792847
253,2001,IR,FR,1622235,1521580
254,2001,IS,FI,2200,2063
255,2001,IS,SE,7571,7101
256,2001,IT,BE,677000,634994
257,2001,IT,DE,23509201,22050525
258,2001,IT,ES,33783090,31686950
259,2001,IT,FI,211700,198564
260,2001,IT,FR,93383648,87589472
261,2001,IT,GB,233925520,219411143
262,2001,IT,PT,178340,167274
263,2001,IT,SE,1773842,1663780
264,2001,JM,BE,22000,20634
265,2001,JM,GB,48259,45264
266,2001,JO,BE,589000,552454
267,2001,JO,FI,126400,118557
268,2001,JO,FR,6089573,5711733
269,2001,JO,GB,7367480,6910349
270,2001,JO,IT,552383,518109
