,Year,Military Expenditure GDP,Relative Military Expenditure,Military Expenditure USD,Total Armed Forces Personel,Relative Armed Forces Personel,Destination country,source_hash
0,1970,1.62960609911055,,2939585.50125376,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
1,1973,1.86891025641026,,3341271.55123016,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
2,1974,1.61082474226804,,3581366.35143003,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
3,1975,1.72206572769953,,4203664.56865451,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
4,1976,2.04608695652174,,5393251.2159455,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
5,1977,2.0114747930775,,6127288.0633346,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
6,2004,2.43125786929857,16.134336001725,125111557.457054,27000.0,0.487255735992571,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
7,2005,1.99206569856085,12.6897579454611,122727193.134874,27000.0,0.466501962677424,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
8,2006,1.89623399634252,10.3603817107467,131346231.269517,51000.0,0.839939761496634,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
9,2007,2.56626735198569,11.9484046164291,219580214.296198,51000.0,0.833395974207212,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
10,2008,2.335545701939,11.1654087876017,240532594.620985,94000.0,1.51256839745792,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
11,2009,2.08741255278385,9.86038937465642,251869514.820335,255745.0,3.92894424938031,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
12,2010,1.94583569418812,9.35459613289025,298146852.519599,306800.0,4.54987256500994,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
13,2011,1.82134545354632,8.30276004557373,325807003.657989,340350.0,4.79485730949828,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
14,2012,1.17541612009987,4.696372864714,238583385.374322,338150.0,4.49615835412549,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
15,2013,1.07694976762403,4.31176435442433,217194107.113298,330650.0,4.19523173500904,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
16,2014,1.29801287790022,5.10979266008033,268227074.235808,308800.0,3.72705501582188,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
17,2015,0.994575822723645,3.83314218682084,199518614.831897,319400.0,3.70073240669033,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
18,2016,0.956772140958855,3.6802510519657,185878310.062383,323000.0,3.62353877713756,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
19,2017,0.945226799939516,3.65259208973618,191407113.244397,323000.0,3.49015888651181,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
20,2018,1.00674629248273,3.72485527466578,198074728.574408,272900.0,2.83864906517014,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
21,2019,1.11823060279695,4.27573619654266,225835643.869378,278000.0,2.78231432905891,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
22,2020,1.35885692738929,4.97282537449934,279576954.925193,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
23,2021,,,278250788.014927,,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
24,1985,,,,47000.0,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
25,1989,,,,55000.0,,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
26,1990,,,,58000.0,2.19533566871628,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
27,1991,,,,45000.0,1.7009251899083,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
28,1992,,,,45000.0,1.52161093287599,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
29,1993,,,,45000.0,1.31578370270306,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
30,1994,,,,45000.0,1.19850075545498,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
31,1995,,,,383000.0,9.65875833761421,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
32,1996,,,,429000.0,10.4504357027808,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
33,1997,,,,429000.0,10.1114713109982,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
34,1998,,,,400000.0,9.12018072550126,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
35,1999,,,,400000.0,8.79832092843402,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
36,2000,,,,400000.0,8.70568452906273,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
37,2002,,,,120000.0,2.43693120502593,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
38,2003,,,,130000.0,2.44577620094196,AF,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
39,1985,1.715e-05,,1146467009.82686,49500.0,,AO,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
40,1986,1.73e-05,,1156494418.07607,,,AO,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
41,1987,22.25,,1487398890.30015,,,AO,ae91c06b2fac22ef2ed0e9fecb2368245e17b8dc843db2d211a07d0e893e5238
