,Value
,245986615
Austria,33383450600
Belgium,29141822577
Bulgaria,17091067547
Croatia,4357555831
Cyprus,19291983
Czech Republic,12222898736
Denmark,4894414414
Estonia,627366422
Finland,5446136027
France,1069822511511
Germany,119352584736
Greece,2180057711
Hungary,6441832659
Ireland,1099335832
Italy,127124092019
Latvia,243195172
Lithuania,1265351895
Luxembourg,53907753
Malta,112336508
Netherlands,27685444812
Poland,18755401431
Portugal,3871270399
Romania,4627827725
Slovakia,3129836570
Slovenia,703438341
Spain,160169058762
Sweden,51168343324
United Kingdom,83009260755
