,Value
,72223.0
AD,12.0
AE,121992.0
AF,2952.0
AG,2.0
AL,456.0
AM,346.0
AO,1623.0
AR,3995.0
AT,5151.0
AU,33681.0
AW,1.0
AZ,5541.0
BA,320.0
BB,5.0
BD,6506.0
BE,19232.0
BF,538.0
BG,9330.0
BH,2099.0
BI,76.0
BJ,115.0
BL,0.0
BM,1.0
BN,3143.0
BO,658.0
BQ,1.0
BR,36388.0
BS,32.0
BT,1.0
BW,3620.0
BY,12.0
BZ,5.0
CA,29756.0
CD,203.0
CF,44.0
CG,128.0
CH,16900.0
CI,986.0
CL,11499.0
CM,898.0
CN,8414.0
CO,9607.0
CR,19.0
CU,4.0
CV,3.0
CW,5.0
CY,4848.0
CZ,10410.0
DE,65951.0
DJ,987.0
DK,6232.0
DM,0.0
DO,284.0
DZ,26092.0
EC,2063.0
EE,2866.0
EG,101169.0
ER,13.0
ES,25451.0
ET,911.0
FI,14792.0
FJ,2.0
FK,2.0
FO,1.0
FR,42617.0
GA,782.0
GB,74854.0
GD,1.0
GE,2516.0
GG,1.0
GH,1040.0
GI,2.0
GL,69.0
GM,11.0
GN,133.0
GQ,79.0
GR,37863.0
GT,53.0
GW,0.0
GY,173.0
HK,66.0
HN,66.0
HR,975.0
HT,6.0
HU,4824.0
ID,26860.0
IE,1927.0
IL,9114.0
IN,107215.0
IQ,9746.0
IR,950.0
IS,131.0
IT,24839.0
JE,4.0
JM,391.0
JO,3761.0
JP,7662.0
KE,2242.0
KG,92.0
KH,140.0
KM,30.0
KN,0.0
KP,537.0
KR,37978.0
KW,22686.0
KY,1.0
KZ,3924.0
LA,2.0
LB,4151.0
LC,2.0
LI,6.0
LK,324.0
LR,4.0
LS,71.0
LT,2823.0
LU,4900.0
LV,1672.0
LY,2050.0
MA,15164.0
MC,10.0
MD,91.0
ME,164.0
MF,0.0
MG,130.0
MH,0.0
MK,339.0
ML,690.0
MM,4.0
MN,112.0
MO,6.0
MR,314.0
MT,292.0
MU,121.0
MV,77.0
MW,15.0
MX,11525.0
MY,28730.0
MZ,79.0
NA,43.0
NC,41.0
NE,537.0
NG,3753.0
NI,5.0
NL,21551.0
NO,21208.0
NP,115.0
NR,0.0
NZ,3758.0
OM,21333.0
PA,185.0
PE,12495.0
PF,23.0
PG,2.0
PH,12033.0
PK,21389.0
PL,20440.0
PS,0.0
PT,6610.0
PW,0.0
PY,578.0
QA,69793.0
RO,12541.0
RS,3798.0
RU,4523.0
RW,146.0
SA,141299.0
SB,0.0
SC,6.0
SD,32.0
SE,15727.0
SG,37139.0
SH,0.0
SI,1034.0
SK,3260.0
SL,23.0
SM,5.0
SN,1630.0
SO,46.0
SR,83.0
SS,17.0
ST,0.0
SV,12.0
SY,80.0
SZ,3.0
TC,0.0
TD,819.0
TG,252.0
TH,11575.0
TJ,58.0
TL,9.0
TM,4239.0
TN,2295.0
TO,0.0
TR,27412.0
TT,678.0
TW,2593.0
TZ,532.0
UA,3543.0
UG,806.0
US,100448.0
UY,525.0
UZ,2633.0
VA,2.0
VC,3.0
VE,4022.0
VG,0.0
VN,4677.0
VU,1.0
WS,0.0
YE,563.0
YT,0.0
ZA,12062.0
ZM,375.0
ZW,1.0
