"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","73000000","","289000000","575000000","414000000","473000000","732000000","418000000","274000000","432000000","1203000000","820000000","481000000","667000000","792000000","1344000000","1254000000","2131000000","2634000000","964000000","1247000000","1588000000","1423000000","1368000000","1172000000","1048000000","1565000000","1869000000","1253000000","297000000","270000000","218000000","","406000000","408000000","100000000","308000000","345000000","","","525000000","406000000","","","","615000000","980000000","1056000000","811000000","412000000","","1092000000","966000000","519000000","290000000","305000000","","","","","","","",
"Afghanistan","AFG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","40000000","56000000","64000000","40000000","56000000","91000000","198000000","230000000","145000000","92000000","9000000","149000000","124000000","","","90000000","230000000","75000000","281000000","360000000","352000000","382000000","294000000","236000000","368000000","153000000","287000000","561000000","1046000000","2152000000","1871000000","1411000000","","","","","","","","","","","34000000","","","35000000","3000000","41000000","150000000","344000000","377000000","661000000","523000000","235000000","288000000","116000000","174000000","252000000","349000000","382000000","227000000","","",
"Africa Western and Central","AFW","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","51000000","134000000","41000000","28000000","56000000","178000000","134000000","86000000","76000000","94000000","47000000","154000000","134000000","83000000","157000000","","436000000","277000000","422000000","394000000","728000000","606000000","838000000","210000000","671000000","615000000","370000000","208000000","163000000","205000000","144000000","","","","135000000","","","84000000","","","102000000","57000000","79000000","147000000","","","92000000","169000000","156000000","216000000","308000000","247000000","227000000","333000000","568000000","248000000","206000000","154000000","132000000","175000000","193000000","","",
"Angola","AGO","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","1000000","241000000","181000000","105000000","146000000","111000000","153000000","241000000","381000000","574000000","479000000","528000000","703000000","1187000000","965000000","152000000","141000000","","","122000000","111000000","1000000","44000000","7000000","150000000","358000000","147000000","156000000","148000000","48000000","8000000","39000000","7000000","31000000","29000000","20000000","","","","30000000","2000000","47000000","152000000","110000000","272000000","169000000","42000000","","",
"Albania","ALB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","57000000","74000000","42000000","12000000","8000000","140000000","74000000","163000000","265000000","297000000","250000000","332000000","134000000","104000000","134000000","53000000","5000000","7000000","5000000","","","","","","","","","","","","","","","","","26000000","","","","","","","","2000000","","7000000","","5000000","","","","","15000000","7000000","7000000","7000000","","4000000","2000000","5000000","","","",
"Andorra","AND","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","541000000","789000000","1260000000","1238000000","1548000000","1937000000","3457000000","4622000000","3303000000","3738000000","4172000000","3846000000","6485000000","9225000000","8968000000","6437000000","5849000000","9588000000","11402000000","11321000000","11905000000","13644000000","16619000000","13926000000","12422000000","10699000000","10322000000","10020000000","5481000000","5755000000","6487000000","4401000000","3675000000","5309000000","4165000000","4766000000","5343000000","6084000000","4938000000","3478000000","2760000000","2147000000","2928000000","2400000000","4159000000","4541000000","4301000000","3335000000","4171000000","4104000000","5305000000","7472000000","5941000000","7003000000","7592000000","9918000000","12570000000","12120000000","10154000000","8416000000","5993000000","","",
"United Arab Emirates","ARE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","13000000","13000000","69000000","24000000","26000000","88000000","100000000","152000000","272000000","294000000","207000000","18000000","203000000","430000000","162000000","164000000","312000000","145000000","138000000","199000000","42000000","660000000","559000000","235000000","201000000","580000000","568000000","421000000","480000000","688000000","756000000","437000000","246000000","186000000","222000000","685000000","1216000000","2180000000","2033000000","929000000","758000000","602000000","644000000","1235000000","1154000000","2306000000","768000000","1224000000","956000000","966000000","1196000000","691000000","432000000","","",
"Argentina","ARG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","111000000","205000000","48000000","19000000","19000000","7000000","93000000","146000000","430000000","223000000","248000000","369000000","400000000","241000000","450000000","260000000","489000000","192000000","437000000","441000000","440000000","856000000","412000000","1316000000","680000000","447000000","226000000","226000000","74000000","14000000","169000000","","27000000","","209000000","43000000","28000000","105000000","171000000","275000000","213000000","6000000","14000000","11000000","169000000","3000000","9000000","24000000","23000000","11000000","11000000","15000000","3000000","12000000","7000000","21000000","17000000","47000000","21000000","48000000","7000000","","",
