"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.785955912357187","0.678386694100047","0.648533554976161","0.667394257268709","0.606732077529875","0.985649327990021","0.926004461829516","0.869763087098186","0.871036809653294","0.884250095963874","0.891100216573973","0.781015144152874","0.731498285580725","0.674218487904876","0.646719013962444","0.628773487783245","","0.592606145517954","0.581484324408697","0.573800883486088","0.619710987732286","0.687962019083731","0.670306943630454","0.6422108193251","0.628792848889377","0.604580230651961","0.537609931602809","0.513248670738674","0.510977921094031","0.495925975491191","","","",
"Afghanistan","AFG","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19533566871628","1.7009251899083","1.52161093287599","1.31578370270306","1.19850075545498","9.65875833761421","10.4504357027808","10.1114713109982","9.12018072550126","8.79832092843402","8.70568452906273","","2.43693120502593","2.44577620094196","0.487255735992571","0.466501962677424","0.839939761496634","0.833395974207212","1.51256839745792","3.92894424938031","4.54987256500994","4.79485730949828","4.49615835412549","4.19523173500904","3.72705501582188","3.70073240669033","3.62353877713756","3.49015888651181","2.83864906517014","2.78231432905891","","","",
"Africa Western and Central","AFW","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.448306110929052","0.436350807602386","0.359529595542544","0.338847177134813","0.326127136453699","0.416709230119982","0.413810415011785","0.415423479220955","0.384369671357903","0.38085369457932","0.366800578747664","0.426320490484893","0.424734398172833","0.408192640286696","0.353536097118903","0.36572219414514","","0.346293602260328","0.335433808302661","0.328142061702415","0.325278453646225","0.313125355225858","0.312711309184971","0.315406269972239","0.310245877314716","0.32859970831759","0.319121181077069","0.320858626312142","0.325649964258654","0.382384071071478","","","",
"Angola","AGO","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.35202250415132","2.97353494428884","2.46056653775605","2.38774341458501","2.17100421247184","2.1363031449184","1.80005454300608","2.05029345335582","2.03559321525736","1.94437264244817","1.73125474713735","2.06938366074396","1.50978491604086","1.72081793918285","1.50541118775667","1.45078369983039","1.3029690993771","1.3351721430597","1.28660189964021","1.23996528945029","1.19464602536162","1.1496941027571","1.10713928834222","1.06669253472039","1.02834668396867","0.991942964466483","0.956438790901144","0.922054043242443","0.889503516389862","0.858413245859312","","","",
"Albania","ALB","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51909212134527","4.59832889653548","4.66982873941925","6.34553608042472","5.02438501527413","4.96108305955505","5.01888214995528","5.09156135934882","5.1237207777125","3.10415235946238","2.06405764683668","1.6990424351294","1.67815749234877","1.77659864267864","0.920030176989805","1.17742781555471","1.19622455032269","1.17124573839716","1.16042513506813","1.0620672076129","1.11011180142922","0.692216232063456","0.676692327901219","0.649676728503153","0.627307198977415","0.653443392561926","0.638574587995223","0.558267806649528","","","",
"Andorra","AND","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5204101380448","3.96938499558377","3.59613257114283","3.46062187861714","3.25608721696923","4.32436975022807","4.31900126168574","4.26448612455967","4.19410175424656","3.86764234496474","3.85992923623857","3.85633589577318","3.75245728353239","3.63099282757302","3.25391073077547","3.25239933208446","3.67587107037825","3.2150823927904","3.31715774104989","3.23613719190673","3.19457135564","3.04451678779431","2.95201922403697","2.3437265720135","2.31954680683928","2.31055175139664","2.18123690666554","2.13243358400426","2.18360474101303","2.15794559886883","","","",
"United Arab Emirates","ARE","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.79481411550566","6.33205285153447","4.93108583406627","4.61058960219833","4.72801688847633","5.26960720644762","4.56077317290553","4.26678131605775","3.982225291812","3.71423629914629","3.49247187104947","3.26173979223706","1.91860403295191","2.18836017721817","2.03458799593082","1.90910132237085","1.64668792939002","1.35309632215154","1.11900534028843","0.962461909626336","0.897082634503029","0.881919915446361","0.867489750013268","1.05462594091885","1.03850752950927","1.02341608491689","1.00894372560318","0.995492473286829","0.983613314439631","0.972296794985665","","","",
"Argentina","ARG","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.633502535649796","0.505362692306748","0.45565614028545","0.442373019547035","0.457936963450524","0.64813338571918","0.66627949210356","0.651484567959296","0.638827929699266","0.619767400210382","0.616565728890082","0.608462713248762","0.613668305179251","0.605552956019149","0.585360814684522","0.581332225382504","0.598524686989768","0.596962365372434","0.59555034835521","0.569406064289186","0.571542288295593","0.559100064820245","0.554015120391972","0.557105091059921","0.554601298360223","0.548376877248241","0.543436892804612","0.536242046381362","0.523304771106891","0.49981858526398","","","",
